Sentiment,id,Date,Query,User,Tweet
4,2045272671,Fri Jun 05 10:29:16 PDT 2009,NO_QUERY,Pil_jb,"LIVE  , IT WAS AMAZING (L) I LOVE NICK , AND HE LOVES ARGENTINA !"
0,2263736451,Sun Jun 21 01:39:53 PDT 2009,NO_QUERY,chrispimages,@princessbrooket u dont call or text or cone see me or nothing 
0,1822932220,Sat May 16 20:43:17 PDT 2009,NO_QUERY,SpreadLOVE8,sad baby chase just woke up crying...i hope it wasn't a bad dream 
0,2070727877,Sun Jun 07 18:11:49 PDT 2009,NO_QUERY,MRIGUY129,"@Emmbby87  cookies, you should make some. unless they are already at hand then you should eat some. That is what i do. cookie+me = better"
4,1573193590,Tue Apr 21 00:05:50 PDT 2009,NO_QUERY,robot55,@ArigusX207 no worries - pretty soon yer whole priorities would shift n excelling in Fallout will become most important thing in yer life 
4,1976455547,Sat May 30 17:22:14 PDT 2009,NO_QUERY,amazing_grace13,@mojaveband Have a great night tonight!  Wish I could have been there.  We'll meet for lunch again so you can give me the autographed CD 
4,2192292774,Tue Jun 16 06:48:54 PDT 2009,NO_QUERY,RegalBeagle616,is enjoying the sun 
4,2063770848,Sun Jun 07 04:00:37 PDT 2009,NO_QUERY,tonyd34,@UndressJess and a very pretty mugshot too 
0,2051484621,Fri Jun 05 22:08:46 PDT 2009,NO_QUERY,li_li1212,I wanted to see drag me to hell but idk y we didn't go! Next weekend?!?! Finally going to sleep workin tomorrow!   Goodnight all!
0,2303169986,Tue Jun 23 17:49:34 PDT 2009,NO_QUERY,BlurredVizun,Disappointed in people who &quot;don't have the funds to see Transformers 2&quot;...guys we were supposed to be saving up for this one!!! LOL. 
0,2045130109,Fri Jun 05 10:16:47 PDT 2009,NO_QUERY,islikeponed,Well actually I haven't now XD haha see you all at night maybe!! My girls I really really miss u  I hope your ok now honey! @TheWayIRoll
0,2002989467,Tue Jun 02 05:38:16 PDT 2009,NO_QUERY,thin_perfection,@wantsize0 I stayed the same again 
4,1983416445,Sun May 31 13:06:51 PDT 2009,NO_QUERY,Shannoncrame,Can't wait to finish my exams and go to Ireland to see mum 
0,2175053701,Sun Jun 14 23:58:26 PDT 2009,NO_QUERY,RandomlyWeird94,Except For My Mom iWill c Her Soon 
4,2001924372,Tue Jun 02 02:32:47 PDT 2009,NO_QUERY,dongwayne,tayg is on 
0,2231949728,Thu Jun 18 19:14:46 PDT 2009,NO_QUERY,3lvira,@pawpaws eres una espia  I love u girl and I miss u too 
4,1989740629,Mon Jun 01 02:38:34 PDT 2009,NO_QUERY,heroesnphotoes,will definitely watch New Moon when it comes out! Jacob is HAWT!! Thank God I'll be in Miami by then 
0,2000256933,Mon Jun 01 21:43:48 PDT 2009,NO_QUERY,leighall,Iss sad bc nick ant textn me 
4,2015891347,Wed Jun 03 05:44:42 PDT 2009,NO_QUERY,BostonDave,@billsabram You know....maybe if Chrysler reintroduced the Cordoba they could save the company! 
4,1997329894,Mon Jun 01 16:39:41 PDT 2009,NO_QUERY,TheWineWhore,@Donnette8676 Pinot Noir is delicious!   Can't go wrong with either one!
4,1985928773,Sun May 31 18:02:20 PDT 2009,NO_QUERY,lollipopNsukers,"Yallz know imma be raving bout the awards, right?! Hhaha "
0,1969278043,Fri May 29 23:32:27 PDT 2009,NO_QUERY,josiejacobs,@BloodyRoseProd just sitting around at home. not feeling very well 
4,1967453453,Fri May 29 19:36:29 PDT 2009,NO_QUERY,sprtsfrk120,Going to state for 4x1 and 4x2!! then another record in the books for 4x4!!!   sooo happy right now.
0,1836063341,Mon May 18 07:17:58 PDT 2009,NO_QUERY,robthebartender,At work trying to get myself together.  
0,1792561928,Wed May 13 23:30:49 PDT 2009,NO_QUERY,apricotzombie,"Headache again  and like the last one, it just keeps getting worse."
0,2181040962,Mon Jun 15 11:17:10 PDT 2009,NO_QUERY,cascandar,@Z33LnR44L I wanntt...  I like the bacon cheeseburger thingies.. mmm
0,2298326050,Tue Jun 23 11:32:15 PDT 2009,NO_QUERY,Misslalahearts,:/  Im in love with a jackazz!!  ugh fml.....
0,2234612081,Thu Jun 18 23:23:36 PDT 2009,NO_QUERY,b_robbie,@HuniB oOhwee naw i just been chillin tryna get use to this new work schedule of having to be at wrk @ 7... 
4,2180027852,Mon Jun 15 09:54:52 PDT 2009,NO_QUERY,bitnerz,"Its one of those mornings where I'm asking myself &quot;Oh brother, what was I thinking!?&quot; And yet I can still say- &quot;totally worth it&quot; "
4,2070659273,Sun Jun 07 18:05:03 PDT 2009,NO_QUERY,jarehoppipola,and then the world give a smile to me.. 
4,2176577787,Mon Jun 15 04:14:23 PDT 2009,NO_QUERY,kim_hild,"@zoziekins of course! its irrelevant what others think, THEY MET ONE OF THEIR IDOLS! got pics and all! fuckin' amazing! "
0,2263222404,Sun Jun 21 00:15:15 PDT 2009,NO_QUERY,Anneaida,"mom doesn't want me to go with her at the mall, its always my sister. "
0,2225452984,Thu Jun 18 10:44:18 PDT 2009,NO_QUERY,AshRockJones,Headache  wish I could get that med that knocks out the headache and puts u straight to sleep! :-D
4,1969881228,Sat May 30 01:34:58 PDT 2009,NO_QUERY,fluffydbunny,@FizzyDuck BIG HUGZZZ  Thank you!
0,2295817181,Tue Jun 23 08:24:48 PDT 2009,NO_QUERY,LeslieFrd495,itching eyes FINALLY subsiding from allergies....better put on sum make up fore i scare someone 
0,2244307663,Fri Jun 19 14:34:33 PDT 2009,NO_QUERY,katie_andhearts,@starry_x you get your butt back here right now. you are NO WAY gonna see TL before me 
4,1970163440,Sat May 30 02:43:00 PDT 2009,NO_QUERY,MiliDee,sunbathing 
4,2014469037,Wed Jun 03 01:38:02 PDT 2009,NO_QUERY,sauronu,@Pepsieee because you want to set the sims on fire to see what they are going to do ? or starve them to death? 
0,1574020353,Tue Apr 21 03:55:23 PDT 2009,NO_QUERY,GaGaBananas,Wishing House was on last nite..wat is up with havin to wait another week 
4,1991018648,Mon Jun 01 06:14:20 PDT 2009,NO_QUERY,thecodeclub,took some pics of the &quot;dickens festival&quot; yesterday - will place them on a yuwie blog soon as i get a chance  have a great day / night
4,1957370374,Fri May 29 00:17:35 PDT 2009,NO_QUERY,abeoisbunk,@she_shines92 you can pick me up too ... I wanna go ... Lol 
0,1982430998,Sun May 31 11:11:38 PDT 2009,NO_QUERY,StephanieHoffy,@linnel15 I'm alright- it hurts horribly so now I'm waiting for my pharmacy to give me my pain meds. Hospital says it's a bad sprain 
4,1996936300,Mon Jun 01 15:57:38 PDT 2009,NO_QUERY,vanewpc,@DRBrooklyn730 woohoo congrats mine is in the works  www.imsovane.com
